Product Name,TiO2 Concentration (mg/kg),TiO2 on Ingredient List?,Category - Level 1,Category - Level 2,Category - Level 3,Source,Extra Information
-,47.06,-,Pharmaceuticals,not applicable,not applicable,Zucchi et al. (2005),Anti-inflammatory (tablet)
-,94.08,-,Pharmaceuticals,not applicable,not applicable,Zucchi et al. (2005),Anti-inflammatory (tablet)
-,72.14,-,Pharmaceuticals,not applicable,not applicable,Zucchi et al. (2005),Anti-inflammatory (tablet)
-,986.46,-,Pharmaceuticals,not applicable,not applicable,Zucchi et al. (2005),Anti-inflammatory (tablet)
-,2001.77,-,Pharmaceuticals,not applicable,not applicable,Zucchi et al. (2005),Anti-inflammatory (tablet)
-,2808.13,-,Pharmaceuticals,not applicable,not applicable,Zucchi et al. (2005),Anti-inflammatory (tablet)
-,300.55,-,Pharmaceuticals,not applicable,not applicable,Zucchi et al. (2005),Anti-inflammatory (tablet)
-,14.53,-,Pharmaceuticals,not applicable,not applicable,Zucchi et al. (2005),Anti-inflammatory (tablet)
-,414.7,-,Pharmaceuticals,not applicable,not applicable,Zucchi et al. (2005),Anti-inflammatory (tablet)
-,14.75,-,Pharmaceuticals,not applicable,not applicable,Zucchi et al. (2005),Anti-inflammatory (tablet)
-,28.56,Yes,Pharmaceuticals,not applicable,not applicable,Holmfred et al. (2024),Ibuprofen
-,18.04,Yes,Pharmaceuticals,not applicable,not applicable,Holmfred et al. (2024),Ibuprofen
-,17.37,Yes,Pharmaceuticals,not applicable,not applicable,Holmfred et al. (2024),Ibuprofen
-,77.82,Yes,Pharmaceuticals,not applicable,not applicable,Holmfred et al. (2024),Ibuprofen
-,2.00,Yes,Pharmaceuticals,not applicable,not applicable,Holmfred et al. (2024),Ibuprofen
-,23.05,Yes,Pharmaceuticals,not applicable,not applicable,Holmfred et al. (2024),Ibuprofen
-,26.22,Yes,Pharmaceuticals,not applicable,not applicable,Holmfred et al. (2024),Ibuprofen
-,6.18,Yes,Pharmaceuticals,not applicable,not applicable,Holmfred et al. (2024),Ibuprofen
-,7.18,Yes,Pharmaceuticals,not applicable,not applicable,Holmfred et al. (2024),Ibuprofen
